, th,the,he ,ed , in, an,ing, of,ng ,and
0,0.020087884494664157,0.0160075329566855,0.013810420590081607,0.005963590709353421,0.007219083490269931,0.0053358443188951665,0.005963590709353421,0.004394224733207784,0.006277463904582548,0.004080351537978657
1,0.014747859181731684,0.011417697431018078,0.011893434823977164,0.007136060894386299,0.004757373929590866,0.004757373929590866,0.006184586108468126,0.003805899143672693,0.005708848715509039,0.003330161750713606
2,0.01474758933635848,0.013329551900170164,0.012478729438457176,0.00737379466817924,0.00737379466817924,0.005672149744753261,0.003970504821327283,0.006806579693703914,0.0045377197958026095,0.005388542257515599
3,0.017120622568093387,0.015175097276264591,0.013813229571984435,0.006420233463035019,0.0062256809338521405,0.005642023346303502,0.00894941634241245,0.007782101167315175,0.007782101167315175,0.004474708171206225
4,0.013266998341625208,0.012603648424543947,0.011276948590381426,0.010945273631840797,0.0076285240464344945,0.0076285240464344945,0.005306799336650083,0.005970149253731343,0.003648424543946932,0.006965174129353234
5,0.01119157340355497,0.009874917709019092,0.010094360324775072,0.004608294930875576,0.0048277375466315555,0.007022163704191354,0.0054860653938994955,0.003730524467851657,0.0054860653938994955,0.0065832784726793945
6,0.016125517541948138,0.014382218348224014,0.0113314447592068,0.006755284375680976,0.009152320767051645,0.003922423185879277,0.007191109174112007,0.003922423185879277,0.007191109174112007,0.004794072782741338
7,0.016660355925785686,0.013631200302915562,0.013252555850056797,0.007951533510034078,0.004922377887163953,0.0041650889814464215,0.005301022340022719,0.007951533510034078,0.005301022340022719,0.003786444528587656
8,0.015517755893763056,0.012235153685467026,0.010444643390032825,0.008057296329453895,0.006863622799164429,0.007162041181736795,0.004476275738585497,0.006565204416592062,0.0035810205908683975,0.005371530886302597
9,0.015873015873015872,0.013266998341625208,0.011608623548922056,0.009950248756218905,0.00734423122482824,0.005685856432125089,0.0042643923240938165,0.005922767116796968,0.0042643923240938165,0.0035536602700781805
10,0.020077220077220077,0.01879021879021879,0.015701415701415703,0.009266409266409266,0.009781209781209782,0.005405405405405406,0.005405405405405406,0.008494208494208495,0.005920205920205921,0.004890604890604891
11,0.016200762388818297,0.014930114358322744,0.01238881829733164,0.008894536213468869,0.008576874205844982,0.0063532401524777635,0.006035578144853875,0.005082592121982211,0.006035578144853875,0.005082592121982211
12,0.01872352056853902,0.017493508268416016,0.014213475468088014,0.007653409867432008,0.005876725433921006,0.007380073800738007,0.004100041000410004,0.008336750034167008,0.004373377067104004,0.006560065600656006
13,0.015182186234817813,0.012483130904183536,0.009446693657219974,0.004723346828609987,0.006072874493927126,0.006072874493927126,0.005735492577597841,0.0043859649122807015,0.004723346828609987,0.005060728744939271
14,0.018948655256723717,0.015281173594132029,0.009779951100244499,0.007946210268948655,0.005501222493887531,0.00713121434392828,0.004482477587612062,0.006112469437652812,0.004482477587612062,0.0057049714751426246
15,0.01625,0.013214285714285715,0.010714285714285714,0.01107142857142857,0.005357142857142857,0.007857142857142858,0.0069642857142857145,0.004464285714285714,0.007142857142857143,0.005892857142857143
16,0.011227902532250358,0.01051122790253225,0.013377926421404682,0.01075011944577162,0.008361204013377926,0.006211180124223602,0.004300047778308648,0.005016722408026756,0.004538939321548017,0.005494505494505495
17,0.015680392691573494,0.012680665394055086,0.011998909190073629,0.00763566948459231,0.007362967002999727,0.005317698391055358,0.00654485955822198,0.005726752113444232,0.006272157076629398,0.0051813471502590676
18,0.01593068753493572,0.012297372833985467,0.011738401341531582,0.008664058133035215,0.008664058133035215,0.005310229178311906,0.008384572386808273,0.0047512576858580215,0.008664058133035215,0.004192286193404136
19,0.01088534107402032,0.009071117561683599,0.008345428156748911,0.01088534107402032,0.007619738751814224,0.005805515239477504,0.006168359941944848,0.0050798258345428155,0.006894049346879536,0.0043541364296081275
20,0.017386504760590588,0.015730647164343865,0.012694908237891541,0.008417276114254173,0.007175382917069132,0.004829584655719608,0.004277632123637367,0.004967572788740169,0.004415620256657927,0.004001655857596246
21,0.0171021377672209,0.015676959619952493,0.015439429928741092,0.007600950118764846,0.009738717339667458,0.0059382422802850355,0.005700712589073635,0.00665083135391924,0.005225653206650831,0.0059382422802850355
22,0.018133997785160574,0.016057585825027684,0.014673311184939091,0.008167220376522701,0.006782945736434108,0.005398671096345515,0.0070598006644518275,0.0051218161683277965,0.007198228128460687,0.008167220376522701
23,0.01752484191508582,0.014453477868112014,0.013730803974706414,0.007407407407407408,0.010478771454381211,0.005781391147244806,0.005420054200542005,0.004336043360433604,0.005420054200542005,0.005420054200542005
